IATA,ICAO,Name,Country,City
ROT,NZRO,Rotorua Regional Airport,New Zealand,Rotorua
ROU,LBRS,Ruse Airport,Bulgaria,Ruse
ROV,URRP,Platov International Airport,Russia,"Novocherkassk, Rostov Oblast"
ROW,KROW,Roswell International Air Center,United States,"Roswell, New Mexico"
ROX,KROX,Roseau Municipal Airport (Rudy Billberg Field),United States,"Roseau, Minnesota"
ROY,SAWM,Río Mayo Airport,Argentina,"Río Mayo, Chubut"
ROZ,LERT,US Naval Station Rota,Spain,"Rota, Andalusia"
RPA,VNRP,Rolpa Airport,Nepal,Rolpa
RPB,YRRB,Roper Bar Airport,Australia,"Roper Bar, Northern Territory"
RPM,YNGU,Ngukurr Airport,Australia,"Ngukurr, Northern Territory"
RPN,LLIB,Rosh Pina Airport,Israel,Rosh Pinna
RPR,VARP,Swami Vivekananda Airport,India,"Raipur, Chhattisgarh"
RPV,,Roper Valley Airport,Australia,"Roper Valley, Northern Territory"
RPX,KRPX,Roundup Airport,United States,"Roundup, Montana"
RQA,ZWRQ,Ruoqiang Loulan Airport,China,"Ruoqiang, Xinjiang"
RQW,,Qayyarah Airfield West,Iraq,Qayyarah
RRE,,Marree Airport,Australia,"Marree, South Australia"
RRG,FIMR,Sir Gaëtan Duval Airport,Mauritius,Rodrigues Island
RRI,,Barora Airport,Solomon Islands,Barora
RRJ,SBJR,Jacarepaguá Airport,Brazil,"Barra da Tijuca, Rio de Janeiro"
RRK,VERK,Rourkela Airport,India,"Rourkela, Odisha"
RRL,KRRL,Merrill Municipal Airport,United States,"Merrill, Wisconsin"
RRM,,Marromeu Airport,Mozambique,Marromeu
RRR,NTKO,Raroia Airport,French Polynesia,"Raroia, Tuamotus"
RRS,ENRO,Røros Airport,Norway,Røros
RRT,KRRT,Warroad International Memorial Airport (Swede Carlson Field),United States,"Warroad, Minnesota"
RRV,,Robinson River Airport,Australia,"Robinson River, Northern Territory"
RSA,SAZR,Santa Rosa Airport,Argentina,"Santa Rosa, La Pampa"
RSB,,Roseberth Airport,Australia,"Roseberth, Queensland"
RSD,MYER,Rock Sound International Airport,Bahamas,"Rock Sound, Eleuthera Island"
RSE,,Rose Bay Water Airport,Australia,"Sydney, New South Wales"
RSH,PARS,Russian Mission Airport,United States,"Russian Mission, Alaska"
RSJ,,Rosario Seaplane Base ,United States,"Orcas Island, Washington"
RSK,WASC,Abresso Airport,Indonesia,Ransiki
RSL,KRSL,Russell Municipal Airport,United States,"Russell, Kansas"
RSN,KRSN,Ruston Regional Airport,United States,"Ruston, Louisiana"
RSS,HSDZ,Damazin Airport,Sudan,Ad-Damazin
RST,KRST,Rochester International Airport,United States,"Rochester, Minnesota"
RSU,RKJY,Yeosu/Suncheon Airport,South Korea,Yeosu / Suncheon
RSW,KRSW,Southwest Florida International Airport,United States,"Fort Myers, Florida"
RSX,,Rouses Point Seaplane Base,United States,"Rouses Point, New York"
RTA,NFNR,Rotuma Airport,Fiji,Rotuma Island
RTB,MHRO,Juan Manuel Gálvez International Airport,Honduras,Roatán
RTC,VARG,Ratnagiri Airport,India,"Ratnagiri, Maharashtra"
RTG,WATG,Frans Sales Lega Airport,Indonesia,Ruteng
RTI,,David Constantijn Saudale Airport,Indonesia,Rote Island (Roti)
RTL,,Spirit Lake Municipal Airport,United States,"Spirit Lake, Iowa"
RTM,EHRD,Rotterdam The Hague Airport,Netherlands,Rotterdam
RTN,KRTN,Raton Municipal Airport (Crews Field),United States,"Raton, New Mexico"
RTP,YRTP,Rutland Plains Airport,Australia,"Rutland Plains, Queensland"
RTS,YRTI,Rottnest Island Airport,Australia,"Rottnest Island, Western Australia"
RTW,UWSS,Saratov Tsentralny Airport,Russia,"Saratov, Saratov Oblast"
RTY,YMYT,Merty Merty Airport,Australia,"Merty Merty, South Australia"
RUA,HUAR,Arua Airport,Uganda,Arua
RUD,OIMJ,Shahroud Airport,Iran,Shahrud
RUE,,Butembo Airport,Democratic Republic of the Congo,Butembo
RUF,WAJE,Yuruf Airport,Indonesia,Yuruf
RUG,ZSRG,Rugao Air Base,China,"Rugao, Jiangsu"
RUH,OERK,King Khalid International Airport,Saudi Arabia,Riyadh
RUI,KSRR,Sierra Blanca Regional Airport,United States,"Ruidoso, New Mexico"
RUK,VNRK,Chaurjahari Airport,Nepal,Rukumkot
RUL,,Maavaarulaa Airport,Maldives,"Gaddhoo, Gaafu Dhaalu Atoll"
RUM,VNRT,Rumjatar Airport,Nepal,Rumjatar
RUN,FMEE,Roland Garros Airport,France,"St-Denis, Réunion"
RUP,VERU,Rupsi Airport,India,"Rupsi, Assam"
RUR,NTAR,Rurutu Airport,French Polynesia,Rurutu
RUS,AGGU,Marau Airport,Solomon Islands,Marau
RUT,KRUT,Rutland – Southern Vermont Regional Airport,United States,"Rutland, Vermont"
RUU,,Ruti Airport,Papua New Guinea,Kawbenaberi
RUV,MGRB,Rubelsanto Airport,Guatemala,Rubelsanto
RUY,MHRU,Copán Ruinas Airport,Honduras,Copán Ruinas
RVA,FMSG,Farafangana Airport,Madagascar,Farafangana
RVC,,River Cess Airport,Liberia,River Cess
RVD,SWLC,General Leite de Castro Airport,Brazil,"Rio Verde, Goiás"
RVE,SKSA,Los Colonizadores Airport,Colombia,Saravena
RVH,ULSS,Rzhevka Airport,Russia,Saint Petersburg
RVI,URRR,Rostov-on-Don Airport,Russia,"Rostov-on-Don, Rostov Oblast"
RVK,ENRM,"Rørvik Airport, Ryum",Norway,Rørvik
RVN,EFRO,Rovaniemi Airport,Finland,Rovaniemi
RVO,FARI,Reivilo Airport,South Africa,Reivilo
RVR,,Green River Municipal Airport,United States,"Green River, Utah"
RVS,KRVS,Richard Lloyd Jones Jr. Airport,United States,"Tulsa, Oklahoma"
RVT,YNRV,Ravensthorpe Airport,Australia,"Ravensthorpe, Western Australia"
RVV,NTAV,Raivavae Airport,French Polynesia,"Raivavae, Austral Islands"
RVY,SURV,Pres. Gral. Óscar D. Gestido International Airport,Uruguay,Rivera
